[2025-05-04 22:18:57,734] INFO - 🚀 Starting preprocessing...
[2025-05-04 22:27:08,929] INFO - ✅ Text cleaned.
[2025-05-04 22:27:08,929] INFO - 🔠 Vectorizing using TF-IDF...
[2025-05-04 22:27:10,027] INFO - ✅ TF-IDF matrix shape: (10000, 5000)
[2025-05-04 22:27:10,028] INFO - 📐 Calculating cosine similarity...
[2025-05-04 22:27:10,715] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-04 22:27:10,718] INFO - 🧹 Cleaning text...
[2025-05-04 22:27:15,291] INFO - ✅ Cosine similarity matrix generated.
[2025-05-04 22:27:19,405] INFO - ✅ Text cleaned.
[2025-05-04 22:27:19,405] INFO - 🔠 Vectorizing using TF-IDF...
[2025-05-04 22:27:20,594] INFO - ✅ TF-IDF matrix shape: (10000, 5000)
[2025-05-04 22:27:20,595] INFO - 📐 Calculating cosine similarity...
[2025-05-04 22:27:21,253] INFO - 💾 Data saved to disk.
[2025-05-04 22:27:21,254] INFO - ✅ Preprocessing complete.
[2025-05-04 22:27:24,439] INFO - ✅ Cosine similarity matrix generated.
[2025-05-04 22:27:25,755] INFO - 💾 Data saved to disk.
[2025-05-04 22:27:25,756] INFO - ✅ Preprocessing complete.
